[11:35:11] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[11:35:12] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[11:35:12] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:35:12] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:35:12] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[11:35:12] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:35:12] [main/INFO]: Reloading ResourceManager: Default
[11:35:12] [Worker-Main-12/INFO]: Loaded 7 recipes
[11:35:13] [Worker-Main-12/INFO]: Loaded 927 advancements
[11:35:14] [Server thread/INFO]: Starting minecraft server version 1.16.1
[11:35:14] [Server thread/INFO]: Loading properties
[11:35:14] [Server thread/INFO]: Default game type: SURVIVAL
[11:35:14] [Server thread/INFO]: Generating keypair
[11:35:14] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:35:14] [Server thread/INFO]: Using default channel type
[11:35:14] [Server thread/INFO]: Preparing level "world"
[11:35:18] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[11:35:19] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[11:35:19] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[11:35:19] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[11:35:20] [Worker-Main-14/INFO]: Preparing spawn area: 2%
[11:35:20] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[11:35:21] [Worker-Main-11/INFO]: Preparing spawn area: 5%
[11:35:21] [Worker-Main-14/INFO]: Preparing spawn area: 7%
[11:35:22] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[11:35:23] [Worker-Main-13/INFO]: Preparing spawn area: 11%
[11:35:23] [Worker-Main-10/INFO]: Preparing spawn area: 12%
[11:35:24] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[11:35:24] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[11:35:24] [Worker-Main-8/INFO]: Preparing spawn area: 15%
[11:35:25] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[11:35:25] [Worker-Main-10/INFO]: Preparing spawn area: 24%
[11:35:26] [Worker-Main-12/INFO]: Preparing spawn area: 25%
[11:35:26] [Worker-Main-12/INFO]: Preparing spawn area: 25%
[11:35:27] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[11:35:28] [Worker-Main-13/INFO]: Preparing spawn area: 25%
[11:35:28] [Worker-Main-12/INFO]: Preparing spawn area: 34%
[11:35:28] [Worker-Main-10/INFO]: Preparing spawn area: 36%
[11:35:29] [Worker-Main-13/INFO]: Preparing spawn area: 37%
[11:35:29] [Worker-Main-8/INFO]: Preparing spawn area: 39%
[11:35:30] [Worker-Main-8/INFO]: Preparing spawn area: 41%
[11:35:30] [Worker-Main-9/INFO]: Preparing spawn area: 42%
[11:35:31] [Worker-Main-12/INFO]: Preparing spawn area: 42%
[11:35:31] [Worker-Main-11/INFO]: Preparing spawn area: 42%
[11:35:32] [Worker-Main-9/INFO]: Preparing spawn area: 42%
[11:35:33] [Worker-Main-12/INFO]: Preparing spawn area: 42%
[11:35:35] [Worker-Main-13/INFO]: Preparing spawn area: 55%
[11:35:35] [Worker-Main-13/INFO]: Preparing spawn area: 55%
[11:35:35] [Worker-Main-9/INFO]: Preparing spawn area: 55%
[11:35:35] [Worker-Main-13/INFO]: Preparing spawn area: 55%
[11:35:35] [Worker-Main-14/INFO]: Preparing spawn area: 55%
[11:35:36] [Worker-Main-10/INFO]: Preparing spawn area: 67%
[11:35:36] [Worker-Main-12/INFO]: Preparing spawn area: 71%
[11:35:37] [Worker-Main-10/INFO]: Preparing spawn area: 73%
[11:35:37] [Worker-Main-9/INFO]: Preparing spawn area: 75%
[11:35:38] [Worker-Main-8/INFO]: Preparing spawn area: 77%
[11:35:38] [Worker-Main-13/INFO]: Preparing spawn area: 79%
[11:35:39] [Worker-Main-13/INFO]: Preparing spawn area: 80%
[11:35:39] [Worker-Main-10/INFO]: Preparing spawn area: 80%
[11:35:40] [Worker-Main-8/INFO]: Preparing spawn area: 86%
[11:35:40] [Worker-Main-13/INFO]: Preparing spawn area: 88%
[11:35:40] [Worker-Main-9/INFO]: Preparing spawn area: 89%
[11:35:41] [Worker-Main-10/INFO]: Preparing spawn area: 92%
[11:35:42] [Worker-Main-13/INFO]: Preparing spawn area: 94%
[11:35:42] [Worker-Main-10/INFO]: Preparing spawn area: 96%
[11:35:43] [Worker-Main-10/INFO]: Preparing spawn area: 98%
[11:35:43] [Server thread/INFO]: Time elapsed: 24382 ms
[11:35:43] [Server thread/INFO]: Done (28.402s)! For help, type "help"
